# form	pos	sources — entries in no book, holding up nothing
# tools/prune.py
аңырайма	n	kazdict
аңырайту	?	kazdict
аңырайып-саңырайып	adv	kazdict
аңыраңда	v	kazdict
аңыраңдау	v	kazdict
аңырсыт	v	kazdict
аңыртас	n	kazdict
аңырулы	adj	kazdict
аңырыс	v	baseline,kazdict
аңырыңқыра	v	kazdict
аңырыңқырау	?	kazdict
аңыс-аужай	n	kazdict
аңыстама	n	kazdict
аңыстат	?	kazdict
аңыстату	?	kazdict
аңыстау	?	kazdict
аңысқой	adj	kazdict
аңысқойлық	n	kazdict
аңғал-даңғал	adj	kazdict
аңғал-саңғал	adj	kazdict
аңғалақтай-аңғалақтай	?	kazdict
аңғалақтау	?	baseline
аңғалдану	?	baseline,kazdict
аңғалдақ	n	kazdict
аңғардайын	adj	kazdict
аңғарлат	v	kazdict
аңғарлату	?	kazdict
аңғарлау	?	kazdict
аңғарлылық	n	kazdict
аңғармарансы	v	kazdict
аңғармағансу	?	kazdict
аңғарсыз	adj	apertium
аңғарттыр	?	kazdict
аңғарттыру	?	kazdict
аңғартқыз	v	kazdict
аңғартқызу	?	kazdict
аңғарушылық	n	kazdict
аңғарша	n	kazdict
аңғарымсыздық	n	kazdict
аңғуа	?	kazdict
аңғыртсу	?	baseline,kazdict
аңғыртсы	v	baseline,kazdict
аңғырттану	?	baseline,kazdict
аңғырту	v	baseline,kazdict
аңқа-санқа	adj	kazdict
аңқайту	?	kazdict
аңқалақтау	?	kazdict
аңқау-аңғал	adj	kazdict
аңқауландыр	v	kazdict
аңқаулану	?	kazdict
аңқаусу	?	baseline,kazdict
аңқаусын	v	baseline,kazdict
аңқаусыну	?	baseline,kazdict
аңқаюлы	adj	kazdict
аңқағушы	n	kazdict
аңқақ	?	kazdict
аңқорығыш	?	kazdict
аңқылдағыш	adj	kazdict
аңқыту	v	kazdict
аұшаны	?	baseline
аһ-үһ	?	kazdict
аһ-үһле	?	kazdict
аһ-үһлеу	?	kazdict
аһали	?	kazdict
аһаһала	?	kazdict
аһаһалат	?	kazdict
аһаһалау	?	kazdict
аһда	?	kazdict
аһднама	?	kazdict
аһдны	?	kazdict
аһдпейман	?	kazdict
аһлап-үһле	?	kazdict
аһлап-үһлет	?	kazdict
аһлап-үһлету	?	kazdict
аһлап-үһлеу	?	kazdict
аһлат	?	kazdict
аһли-л-байт	?	kazdict
аһыла-үһьіле	?	kazdict
аһылап-үһьілет	?	kazdict
аһылап-үһьілету	?	kazdict
аһылап-үһьілеу	?	kazdict
аһылап-үһіле	?	kazdict
аһылап-үһілеп	adv	kazdict
аһылат	?	kazdict
аһылату	?	kazdict
аһылатып-үһьілет	?	kazdict
аөсшк	abbr	apertium
бабажапырақ	n	baseline,kazdict
бабайғақ	n	kazdict
бабалат	?	kazdict
бабалату	?	kazdict
бабалау	?	kazdict
бабамкожа	np	apertium
бабасал	adj	baseline,kazdict
бабасыға	?	kazdict
бабатоған	np	apertium
бабаула	?	kazdict
бабаулау	v	kazdict
бабашка	?	kazdict
бабағали	np	apertium,kazdict
бабағожа	?	kazdict
бабақұмаров	np	apertium
баббит	n	apertium,kazdict
бабез	?	kazdict
бабизм	n	kazdict
бабишілер	n	kazdict
бабурин	np	apertium
бабшылдар	n	kazdict
бабырақ	adj	kazdict
бабықұм	np	apertium
бабғай	n	kazdict
бабұссалам	n	kazdict
бав	np	apertium
баварлар	n	kazdict
бавдинов	np	apertium
багамалар	np	apertium
багги	n	kazdict
багер	n	apertium,kazdict
багерлі	?	kazdict
багет	n	apertium,kazdict
багетші	n	kazdict
багирми	n	kazdict
багул	np	apertium
бадал-бадал	adj	kazdict
бадалан	?	baseline
бадалану	v	kazdict
бадалу	?	baseline,kazdict
бадалғыз	?	baseline
бадамбай	np	apertium,kazdict
бадамшы	np	apertium
баданша	n	baseline,kazdict
бадапұрыш	?	kazdict
бадақ	n	kazdict
бадзрем	?	kazdict
бадигулжамал	?	baseline
бадид	?	kazdict
бадиян	?	baseline
бадиға	np	apertium
бадминтон	n	apertium,kazdict
бадминтоншыл	adj	kazdict
бадминтоншылдық	n	kazdict
бадына	v	kazdict
бадынау	?	kazdict
бадынақ	adj	kazdict
бадырайыс	?	baseline
бадырау	?	kazdict
бадырашы	n	kazdict
бадыраю	?	baseline
бадыраңда	?	baseline
бадыраңдау	?	baseline
бадышлық	?	kazdict
бадьян	?	kazdict
бадігулжамал	np	apertium
бадғады	?	kazdict
бадһаибат	?	kazdict
бажалақтау	?	baseline
бажалық	?	baseline
бажақы	n	kazdict
бажбалаң	?	baseline
бажбалаңда	?	baseline
бажбаншы	?	kazdict
бажбию	v	kazdict
бажсыз	adj	apertium,baseline
бажуд	?	kazdict
бажшы	n	apertium
бажылау	?	kazdict
бажына	v	kazdict
бажынау	v	kazdict
бажырайыс	?	baseline
бажырақ	adj	kazdict
бажыраңда	?	baseline
бажырлау	v	kazdict
бажыған	adj	kazdict
базальды	adj	apertium
базарайм	np	apertium
базарайым	?	baseline,kazdict
базарбасылық	n	kazdict
базаргүл	np	apertium,kazdict
базарлату	?	kazdict
базартөбе	np	apertium
базаршолан	np	apertium
базаршылау	?	baseline
базаршық	n	kazdict
базбан	n	kazdict
баздама	n	kazdict
баздандыр	v	kazdict
баздану	n	apertium,baseline
базигер	n	apertium
базиликата	np	apertium
базилио	np	apertium
базм	?	kazdict
базнипе	adj	kazdict
базофилия	n	apertium
базофильді	adj	apertium
базынашы	?	baseline
базынашыл	?	baseline
базынашылдық	?	baseline
баиндер	?	kazdict
баиұтты	?	kazdict
бай-бөсір	adj	kazdict
бай-манап	n	kazdict
бай-мырза	n	apertium
бай-шайы	?	kazdict
байапар	?	kazdict
байат-уа-мамур	?	kazdict
байахмет	np	apertium,kazdict
байақын	np	apertium
байбайлат	?	baseline
байбайлау	?	baseline
байбайұқ	?	kazdict
байбаламдасу	?	kazdict
байбаламдат	?	baseline
байбаламдау	?	baseline,kazdict
байбаламшы	adj+n	apertium
байбаламшылық	n	apertium
байбөрілі	np	apertium
байгенже	?	kazdict
байдамтал	n	kazdict
байден	np	apertium
байдеряков	np	apertium
байенек	n	kazdict
байжанбай	np	apertium,kazdict
байжарас	np	apertium,kazdict
байиан	?	kazdict
байлам-тұжырым	n	kazdict
байланшақ	?	baseline
байланшақтық	?	baseline
байланысушылық	n	apertium
байластырыл	?	kazdict
байластырылу	?	kazdict
баймади	np	apertium,kazdict
баймана	n	apertium,baseline,kazdict
байманап	?	baseline
баймөңке	?	kazdict
байнұр	np	apertium,kazdict
байпас	?	kazdict
байпақшаңдан	v	kazdict
байпақшаңдану	?	kazdict
байпаңдас	?	baseline
байпаңдау	?	baseline
байразышы	n	kazdict
байраңдау	?	kazdict
байрықты	adj	kazdict
байсаков	np	apertium
байсалдану	v	baseline,kazdict
байсалдау	v	kazdict
байсалдылан	v-intrans	apertium,kazdict
байсалдылану	?	kazdict
байсан	np	apertium,kazdict
байсат	n	kazdict
байсырау	?	baseline,kazdict
байтазиев	np	apertium
байтақкөл	np	apertium
байтақы	n	kazdict
байтақыт	n	kazdict
байтесе	n	baseline,kazdict
байтуғай	np	apertium,kazdict
байшуақұлы	?	baseline
байшынар	?	baseline
байшікештен	v	kazdict
байшікештену	?	kazdict
байшұлақов	np	apertium
байызбай	np	apertium,kazdict
байыл	adj	kazdict
байымдат	?	baseline
байымдағыштық	?	baseline
байымдылық	n	apertium,baseline
байынжан	?	kazdict
байыптат	?	baseline
байыптағыш	?	baseline
байыптағыштық	?	baseline
байырғылан	v	kazdict
байырқау	?	baseline,kazdict
байырқұм	np	apertium
байыттыр	?	baseline
байытқыш	n	apertium,baseline
байғазылық	?	baseline
байғанат	?	kazdict
байғани	np	apertium,kazdict
байғұстану	?	kazdict
байқалыну	?	kazdict
байқамағансу	?	kazdict
байқанат	np	apertium
байқап-байқап	adv	kazdict
байқаушылық	n	apertium,baseline
байқағансу	?	kazdict
байқағансы	v	kazdict
байқыт	adj	kazdict
байқұн	adj	baseline,kazdict
байқұш	?	kazdict
байұды	?	kazdict
бакалавриат	?	kazdict
бакамал	?	kazdict
бакелит	n	apertium
бакенші	n	apertium
бакина	?	kazdict
бакримович	np	apertium
бактерицид	n	apertium
бактериясыздандыру	n	apertium
бакчиев	np	apertium
бакштейн	n	apertium
бал-балауса	adj	kazdict
бал-бұл	?	kazdict
бал-бұлда	v	kazdict
бал-шырын	adj	kazdict
бал-шырындай	adj	kazdict
бала-бажыр	n	kazdict
бала-бота	?	kazdict
бала-шаға	n	kazdict
бала-шағалы	adj	apertium,kazdict
бала-шағасыз	adj	kazdict
балабастылық	n	kazdict
балажанов	np	apertium
балажансу	?	kazdict
балажансы	v	kazdict
балайна	n	apertium
балакес	n	kazdict
балакіс	n	kazdict
балакөл	np	apertium
балакөш	n	kazdict
балакөшші	n	kazdict
балалайкалы	?	kazdict
балалайкашы	n	apertium
балалайкеш	n	kazdict
балалрды	?	baseline
балалы-шағалы	?	kazdict
балалыүйрек	n	kazdict
баламаландыр	?	kazdict
баламаландыру	?	kazdict
баламалану	?	kazdict
баламасөз	n	kazdict
баланит	n	kazdict
баланс-нетто	n	kazdict
балансир	n	kazdict
балансирле	v	kazdict
балансирлеу	?	kazdict
балансирлеуші	n	kazdict
баланстау	?	baseline
балану	?	baseline,kazdict
балапандау	adj	kazdict
балапандағыш	adj	kazdict
балапандағыштық	n	kazdict
балапанқұрт	n	kazdict
балапаңда	?	baseline
балапаңдат	?	baseline
балапаңдау	?	baseline
баларқалы	adj	kazdict
баласыра	v	baseline,kazdict
баласырау	?	kazdict
баласыт	v	kazdict
баласыту	?	kazdict
балаталдық	np	apertium
балатопар	np	apertium
балаттылау	?	kazdict
балаулық	n	kazdict
балаура	?	kazdict
балаурау	v	kazdict
балауса-балғын	adj	kazdict
балаусалан	?	kazdict
балаусалап	adv	kazdict
балаусалау	adj	kazdict
балауызағаш	n	kazdict
балауыздану	?	kazdict
балауыздау	?	baseline
балауыздылық	?	baseline
балауызшөп	n	apertium
балауқа	n	kazdict
балахмет	np	apertium,kazdict
балашықта	v	kazdict
балашықтау	?	kazdict
балағансы	?	kazdict
балағаттасу	?	kazdict
балағаттат	?	kazdict
балағаттату	?	kazdict
балағаш	?	kazdict
балағызғыш	n	kazdict
балақ-жең	n	kazdict
балақайлау	?	kazdict
балақпан	n	baseline,kazdict
балақсыз	adj+n	kazdict
балақұлболды	np	apertium
балаңдылық	n	kazdict
балаңқылық	n	kazdict
балаңқұрт	n	apertium
балаұйық	np	apertium
балбалтас	n	kazdict
балбана	n	kazdict
балбасы	n	kazdict
балбауырсақ	?	kazdict
балбақ	adj+n	kazdict
балбаңда	?	kazdict
балбер	n	kazdict
балберке	?	kazdict
балберкі	?	kazdict
балбетеге	?	baseline
балбидай	n	kazdict
балбыр	adj	kazdict
балбырату	?	kazdict
балгерсіз	adj	kazdict
балгүл	np	apertium,kazdict
балдақтамыр	n	kazdict
балдр	np	apertium
балды-балсыз	?	kazdict
балдыр-балдыр	?	kazdict
балдыр-балғын	n	kazdict
балдыр-батпақ	adj	kazdict
балдыр-бұлдыр	?	kazdict
балдыра	?	baseline
балдырау	?	baseline
балдыркөк	n	apertium,baseline,kazdict
балдырлас	?	kazdict
балдырлау	?	baseline,kazdict
балдыршөп	n	apertium,baseline,kazdict
балдұ	?	kazdict
балжапырақ	n	apertium,baseline,kazdict
балжаңда	?	baseline,kazdict
балжаңдау	?	baseline
балжуран	?	kazdict
балжүгері	n	baseline,kazdict
балиев	np	apertium
балийат	?	kazdict
балилік	n	kazdict
балиғи	n	kazdict
балканизация	n	apertium
балкашев	np	apertium
балкашино	np	apertium
балкүлше	n	kazdict
баллер	?	kazdict
баллистикалы	adj	baseline,kazdict
баллистокардиография	?	kazdict
балмиз	?	kazdict
балмұрын	?	baseline,kazdict
балп-балп	?	kazdict
балпамсадай	adj	baseline,kazdict
балпанбалық	n	apertium,baseline,kazdict
балпауыштай	adj	kazdict
балпаю	?	baseline
балпаяқ	adj	kazdict
балпаң-балпаң	?	kazdict
балпаңдау	adj	baseline,kazdict
балпит	?	baseline,kazdict
балпиту	?	kazdict
балпию	?	baseline,kazdict
балпылдас	?	baseline
балпылдат	?	baseline,kazdict
балпылдату	?	kazdict
балпылдау	?	baseline,kazdict
балпылдақ	adj	kazdict
балпыш	adj	kazdict
балсайра	?	kazdict
балсірі	n	apertium,kazdict
балта-шот	n	kazdict
балтабалық	n	baseline,kazdict
балтабеков	np	apertium
балтажұтар	n	kazdict
балтамтап	n	baseline,kazdict
балтанайза	n	apertium,baseline
балтасов	np	apertium
балтатұмсық	n	baseline,kazdict
балтач	np	apertium
балташот	n	kazdict
балтиев	np	apertium
балтимор	np	apertium
балтозаң	n	kazdict
балтырлық	n	kazdict
балтығу	?	kazdict
балтүк	n	kazdict
балуансымақ	?	baseline
балуансыну	?	baseline
балуанғали	np	apertium,kazdict
балун	?	kazdict
балуыз	adj	kazdict
балхашит	n	kazdict
балшайқауыш	n	apertium
балшарап	n	kazdict
балшелек	n	kazdict
балшы-балгер	n	kazdict
балшылдау	?	baseline
балшылық	n	baseline,kazdict
балшырынды	adj	kazdict
балшырыш	n	kazdict
балшытыр	n	apertium,baseline,kazdict
балшық-балшық	adj	kazdict
балшықтау	?	baseline
балшөп	n	baseline,kazdict
балымбоз	n	kazdict
балығауыз	?	kazdict
балықауыз	n	kazdict
балықелек	n	kazdict
балықжай	n	kazdict
балықжоиғы	n	kazdict
балықжон	n	kazdict
балықкесіртке	n	kazdict
балықкөзден	?	kazdict
балықкөздену	?	kazdict
балықланды	?	kazdict
балықлығ	?	kazdict
балықот	n	kazdict
балықоты	?	baseline
балықсады	?	kazdict
балықсүлік	n	kazdict
балықтазалағыш	n	kazdict
балықтандыру	?	kazdict
балықшаруашылық	n	kazdict
балықшыторғай	?	baseline
балықшөп	n	apertium
балыққанат	n	kazdict
балыққапас	n	kazdict
балыққарындан	v	kazdict
балыққарындану	?	kazdict
балықөсірушілік	n	kazdict
балықөткізгіш	n	kazdict
балыұшы	np	apertium
бальбоа	np	apertium
бальзамдаушы	n	apertium
бальзамдық	adj	kazdict
бальнеолог	n	apertium
бальнеология	n	apertium,kazdict
бальнеологиялық	adj	kazdict
бальнеотерапия	n	apertium
балясина	n	apertium,kazdict
балясник	n	apertium
балға-төс	n	kazdict
балға-шот	n	kazdict
балғабалық	n	kazdict
балғалас	adj	kazdict
балғалат	?	kazdict
балғалау	?	baseline,kazdict
балғасап	n	kazdict
балғасыз	adj	kazdict
балғауыз	?	kazdict
балғашот	n	kazdict
балғашылық	n	baseline,kazdict
балғашық	n	kazdict
балғынбайұлы	?	baseline
балғындат	v-intrans	apertium
балғынтал	?	baseline
балқайнатпа	n	apertium,kazdict
балқантану	n	kazdict
балқара	n	kazdict
балқаш-алакөл	np	apertium
балқашит	n	kazdict
балқаштау	v	kazdict
балқаңбақ	n	baseline,kazdict
балқорғасын	?	kazdict
балқоспақ	n	kazdict
балқылда	?	kazdict
балқымалы	adj	kazdict
балқытпа	n	kazdict
балқытушылық	n	kazdict
балқығыш	adj	baseline,kazdict
балқығыштық	n	baseline,kazdict
балқұймақ	n	kazdict
балқұндақ	n	kazdict
балқұрт	n	kazdict
бамако	np	apertium
бамбара	n	apertium
бамбаралар	n	kazdict
бамдад	?	kazdict
бамиз	n	kazdict
