# stem	patterns	forms	book-weight	bare — tools/discover.py
# candidates, not entries: read them before admitting them.
# `bare` is how many books write the stem on its own.
қараханид	6	3	24	11
фразеологизм	10	6	21	11
психоаналитик	10	5	20	11
алшыораз	9	5	19	11
героика	3	3	19	11
коньягі	3	3	19	11
қатонқарағай	5	4	19	11
раввин	10	6	17	11
скепсис	11	7	17	11
бессарабия	6	6	16	11
стилизация	7	5	16	11
контаминация	6	5	15	11
прописка	7	5	15	11
унификация	7	6	15	11
везувий	5	4	14	11
насонов	8	4	14	11
салфетка	5	4	14	11
иномарка	6	5	13	11
сеньора	6	5	13	11
агафья	4	4	12	11
тайкөк	7	4	12	11
терлікбай	4	3	12	11
күреңтөбел	9	3	11	11
қаңтарбай	6	4	11	11
түрікмения	3	3	11	11
этажерка	4	4	11	11
кантилена	3	4	10	11
суықбұлақ	8	4	10	11
бандитизм	6	3	9	11
қырықкез	5	3	9	11
оразмұхаммед	5	3	9	11
ақжонас	6	3	8	11
балтеке	3	3	8	11
вронский	4	3	8	11
гиппарх	5	3	8	11
губисполком	4	3	8	11
нұрмамбет	7	4	8	11
раушангүл	9	3	8	11
сайөтес	5	3	8	11
саяқбай	4	3	8	11
тәңірия	3	4	8	11
баратынский	4	3	7	11
жанысбай	4	3	7	11
зеленский	6	3	7	11
көкжота	3	3	7	11
нұрымбет	6	3	7	11
чистяков	7	3	7	11
шыныбек	6	3	6	11
праформа	18	12	51	10
шоқтерек	11	5	41	10
скифия	7	7	38	10
носилка	10	7	30	10
гиперборея	8	7	27	10
сарсүмбе	5	5	26	10
раушанбек	12	5	23	10
секөнт	11	6	23	10
скамья	5	4	17	10
гаргантюа	7	6	16	10
мұхаммедфазыл	11	4	16	10
жылышырай	4	3	15	10
күлембай	5	3	15	10
стагирит	6	3	15	10
жұңго	5	5	14	10
корзинка	6	5	14	10
приходько	5	5	14	10
жаңасемей	4	3	13	10
өгізхан	4	3	13	10
алтынорда	9	5	12	10
бургундия	4	4	12	10
изабелла	5	5	12	10
көрстан	5	4	12	10
нәрікбай	5	4	12	10
антиохия	5	5	11	10
саркөл	8	3	11	10
ханабад	9	4	11	10
эней	4	3	11	10
байсақал	8	3	10	10
косыгин	3	3	10	10
матфей	4	3	10	10
нұрасыл	11	4	10	10
зырян	5	3	9	10
иллиада	3	3	9	10
тоққожа	3	3	9	10
байтурсунов	3	3	8	10
белослюдов	4	3	8	10
дауылов	7	3	8	10
копетдаг	7	3	8	10
майбұлақ	5	3	8	10
мүсеке	3	3	8	10
тевтон	6	3	8	10
костомаров	5	3	7	10
мефодий	5	3	7	10
рекрут	4	3	7	10
самоквасов	5	3	7	10
антиох	7	3	6	10
әлсейіт	5	3	6	10
кострома	3	3	6	10
митька	3	3	6	10
әрнәрсе	5	5	59	9
коннотация	33	22	59	9
түпнегіз	17	10	37	9
коринф	13	7	34	9
манжурия	7	7	29	9
көзжұмбай	4	4	28	9
эполет	11	8	25	9
ономастикон	10	7	24	9
печорин	8	5	22	9
универсалия	8	4	22	9
сарацин	8	4	19	9
фландрия	5	5	19	9
біршымбай	4	3	16	9
күлмесхан	4	4	15	9
ричмонд	13	6	15	9
этнопедагогика	5	4	15	9
һауадақ	8	4	14	9
этнолингвистика	3	3	14	9
қаржауов	12	5	13	9
махашқала	3	3	13	9
раковина	9	6	13	9
тойқожа	3	3	13	9
фригия	5	4	13	9
гертруда	4	4	12	9
деструкция	4	4	12	9
кинодраматургия	5	5	12	9
мосфильм	7	4	12	9
семиозис	6	4	12	9
добросмыслов	5	3	11	9
ишимов	3	3	11	9
каторжник	7	3	11	9
қайынбике	5	4	11	9
лосовский	4	3	11	9
шаньси	6	5	11	9
архилох	7	3	10	9
зигфрид	7	3	10	9
кемелбай	4	3	10	9
қаражанов	7	3	10	9
тарквиний	8	4	10	9
тимонин	3	3	10	9
тоқмайдан	3	3	10	9
умурзаков	3	3	10	9
үшқиян	4	3	10	9
шайтанкөл	8	3	10	9
қаншеңгел	10	4	9	9
қарағантүп	6	3	9	9
савойя	4	4	9	9
черепица	3	3	9	9
эйзенштейн	3	3	9	9
эллипсис	5	3	9	9
алаторпа	3	3	8	9
гельдерлин	6	3	8	9
естемесов	5	3	8	9
прекос	7	4	8	9
словоохотов	7	4	8	9
аманқызылит	6	3	7	9
құлшаров	8	3	7	9
нүсіпхан	4	3	7	9
әндижан	5	3	6	9
лесли	6	3	6	9
маймақов	7	3	6	9
сәлімгереев	7	3	6	9
сперма	3	3	6	9
красноводскі	7	7	114	8
гиперборей	19	10	38	8
ғауазхан	10	8	37	8
констелляция	18	12	35	8
қарасартов	15	8	33	8
перипатетизм	12	9	33	8
автостанция	5	5	31	8
лакедемон	13	7	29	8
үндіевропа	22	11	29	8
үнтаспа	8	5	26	8
назеке	6	6	25	8
лесхоз	12	6	21	8
мутакаллим	5	3	20	8
бастилия	5	5	19	8
станогі	4	4	19	8
барқытбел	8	4	18	8
күнкөр	5	5	18	8
педтехникум	11	6	16	8
көзқаман	5	4	15	8
ботантай	5	4	14	8
икарус	7	3	14	8
малатия	5	5	14	8
