# given	admitted	docs_given	docs_admitted — Russian-document spellings
# replaced by the Kazakh spelling the books show people writing
курбанбай	құрбанбай	0	4
курманай	құрманай	0	11
курманалы	құрманалы	0	5
курманбай	құрманбай	10	51
курманбек	құрманбек	8	63
курмангазы	құрманғазы	42	198
курмангали	құрманғали	5	42
курмангалиев	құрманғалиев	5	47
курманжан	құрманжан	0	5
курмантай	құрмантай	2	10
курмаш	құрмаш	8	65
кусайынов	құсайынов	0	50
кусман	құсман	3	13
куспан	құспан	2	21
куттыбаев	құттыбаев	0	12
куттыбай	құттыбай	2	43
куттыбек	құттыбек	0	13
куттымурат	құттымұрат	0	7
кыдырали	қыдырәлі	0	35
кыдыралы	қыдыралы	0	8
кыдырбаев	қыдырбаев	0	12
кыдырбай	қыдырбай	3	64
кыдырбек	қыдырбек	0	9
кыдыров	қыдыров	2	23
кыдырхан	қыдырхан	0	11
кызжибек	қызжібек	0	6
кызылгул	қызылгүл	3	12
кызырбек	қызырбек	0	4
кылышбаев	қылышбаев	0	11
кылышбек	қылышбек	2	19
кыргызбаев	қырғызбаев	0	7
кыргызбай	қырғызбай	2	26
кырыкбаев	қырықбаев	0	6
кырыкбай	қырықбай	0	18
кыстаубаев	қыстаубаев	0	9
кыстаубай	қыстаубай	3	42
лайлим	ләйлім	0	27
лукман	лұқман	4	47
лукпанов	лұқпанов	0	10
магжан	мағжан	22	212
магира	мағира	0	7
мади	мәди	12	121
мадибек	мәдібек	0	10
мадиев	мәдиев	3	13
майгул	майгүл	0	6
макаш	мақаш	9	80
макбал	мақбал	0	3
макен	мәкен	7	46
максутбек	мақсұтбек	0	9
максутхан	мақсұтхан	0	3
макулбек	мақұлбек	0	13
мансия	мәнсия	0	5
маншук	мәншүк	14	82
маржангул	маржангүл	0	5
марзия	мәрзия	5	35
маркабай	марқабай	0	14
мейирхан	мейірхан	0	21
мейрамгали	мейрамғали	0	3
мейрамкул	мейрамкүл	0	5
мейрим	мейрім	0	25
мелис	меліс	0	4
мендибаев	меңдібаев	3	13
мендигали	меңдіғали	0	12
мендигалиев	меңдіғалиев	0	4
менсулу	меңсұлу	0	18
ментай	меңтай	0	5
мергали	мерғали	0	14
мешитбай	мешітбай	0	15
молдагали	молдағали	4	30
молдагалиев	молдағалиев	13	89
молдагулов	молдағұлов	0	3
мукажанов	мұқажанов	0	5
мукатай	мұқатай	3	35
мукаш	мұқаш	14	90
муктар	мұқтар	2	58
мунира	мүнира	2	8
мурадым	мұрадым	0	44
муратбаев	мұратбаев	0	28
муратбек	мұратбек	3	36
муратжан	мұратжан	0	23
муратхан	мұратхан	0	13
мусабай	мұсабай	7	45
мусабек	мұсабек	3	32
мусабеков	мұсабеков	2	10
мусагали	мұсағали	0	15
мусатай	мұсатай	5	34
мусахан	мұсахан	4	19
мустафа	мұстафа	45	295
мустахим	мұстахим	0	7
мухамбет	мұхамбет	12	118
мухамбеткали	мұхамбетқали	0	4
мухамбетов	мұхамбетов	2	12
мухамеджан	мұхамеджан	22	102
мухамедияров	мұхамедияров	0	6
мухамет	мұхамет	3	24
мухаметали	мұхаметәлі	0	4
мухаметжан	мұхаметжан	6	86
мухаметжанов	мұхаметжанов	2	18
мухаметкали	мұхаметқали	0	10
мухаметхан	мұхаметхан	0	3
мухаммеджан	мұхаммеджан	2	11
мухаммет	мұхаммет	0	63
муханбет	мұханбет	0	17
мухтарбек	мұхтарбек	0	3
мухтаров	мұхтаров	2	8
мухтархан	мұхтархан	0	5
мыктыбай	мықтыбай	0	17
мыктыбек	мықтыбек	0	4
мылтыкбай	мылтықбай	3	17
мынжасар	мыңжасар	4	33
мырзагалиев	мырзағалиев	11	48
мырзагул	мырзағұл	2	55
мырзагулов	мырзағұлов	0	7
мырзакул	мырзақұл	0	13
мырзакулов	мырзақұлов	0	4
нагашыбай	нағашыбай	0	7
нагашыбек	нағашыбек	0	6
назгул	назгүл	0	23
назыгул	назыгүл	0	8
найла	нәйлә	0	6
налибай	нәлібай	0	4
наркыз	нарқыз	0	7
наурызгали	наурызғали	2	11
несибелди	несібелді	0	6
несипбаев	несіпбаев	0	3
несипбек	несіпбек	0	32
несипкул	несіпкүл	0	3
нугыманов	нұғыманов	0	9
нукенов	нүкенов	0	3
нурадил	нұрәділ	0	4
нурадин	нұрадин	2	19
нуран	нұран	3	14
нурасыл	нұрасыл	0	10
нурахмет	нұрахмет	0	27
нурахметов	нұрахметов	0	6
нурбаев	нұрбаев	6	27
нурбакыт	нұрбақыт	0	4
нурбала	нұрбала	0	4
нурбеков	нұрбеков	0	8
нурберген	нұрберген	5	28
нурбике	нұрбике	0	42
нурболат	нұрболат	0	25
нурбосын	нұрбосын	0	7
нурбуби	нұрбүбі	0	6
нургабыл	нұрғабыл	0	4
нургазиев	нұрғазиев	0	5
нургайша	нұрғайша	0	9
нургали	нұрғали	20	119
нургалиев	нұрғалиев	10	100
нурганат	нұрғанат	0	4
нурганым	нұрғаным	3	24
нургожа	нұрғожа	0	20
нургул	нұргүл	0	34
нурдана	нұрдана	0	3
